                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,1.0613,2.632,1.2892,0.26752,0.29454,0.17222,0.08884,1.5043,2.8499,1.6375,0.00033258,0.00033258,0.00033258
2,1.0698,1.9336,1.288,0.33016,0.30549,0.22183,0.12852,1.4614,2.4673,1.5733,0.00059999,0.00059999,0.00059999
3,1.0431,1.7006,1.2838,0.33017,0.30794,0.24189,0.13303,1.4959,2.3974,1.6573,0.0008014,0.0008014,0.0008014
4,0.98796,1.5063,1.2405,0.41109,0.31727,0.28206,0.17342,1.4263,2.2601,1.5743,0.000703,0.000703,0.000703
5,0.93074,1.3499,1.2103,0.45695,0.34243,0.32251,0.19308,1.4094,2.1854,1.5506,0.000604,0.000604,0.000604
6,0.88132,1.1973,1.1743,0.52807,0.38321,0.38527,0.23897,1.3387,1.7983,1.4632,0.000505,0.000505,0.000505
7,0.82586,1.072,1.1383,0.50735,0.42405,0.42032,0.27103,1.3015,1.7978,1.4578,0.000406,0.000406,0.000406
8,0.7916,0.98002,1.117,0.58526,0.41497,0.45879,0.29705,1.2792,1.8395,1.4434,0.000307,0.000307,0.000307
9,0.7558,0.88668,1.0944,0.55462,0.45275,0.4628,0.30111,1.2615,1.7386,1.4252,0.000208,0.000208,0.000208
10,0.72151,0.80443,1.0716,0.59429,0.45085,0.49143,0.32644,1.2364,1.7629,1.4009,0.000109,0.000109,0.000109
